A1,A2,B1,B2,C,D,E,F
1,1,1,1,1,1,1,1
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38